Data,Kadar_Air ,Tak_Larut,Kalsium,Magnesium,Sulfat ,NaCl_(wb),NaCl_(db),Grade
0,7.82778865,0.042330916,0.2402799,0.807340463,1.347226215,83.91560154,91.04219191,K1
1,8.108108108,0.590494124,0.216902499,0.954370994,1.183175932,85.01195839,92.51301354,K1
2,8.783783784,0.029383193,0.200770493,0.950313665,1.112958626,84.32144978,92.4412931,K1
3,7.34375,0.082161548,0.241597556,0.71161462,0.802739747,87.99016382,94.96408911,K1
4,3.238095238,0.483501196,0.366320635,0.329688572,1.417252195,91.95498918,95.03222307,K1
5,7.858546169,0.311640367,0.336664813,0.706996108,1.883720849,86.00382335,93.33890423,K1
6,5.73012939,0.139055938,0.282087784,0.535966789,1.399155601,92.57231779,98.19926259,K1
7,9.732824427,0.027965602,0.270330665,0.689343195,1.321107883,84.10972307,93.17863613,K1
8,6.285714286,0.338801676,0.13012386,0.481458281,1.188095817,91.46117979,97.59577112,K1
9,9.37,0.028334151,0.201715919,1.075818236,1.153539719,83.94694731,92.62600387,K1
10,3.238095238,0.483501196,0.366320635,0.329688572,1.417252195,91.95498918,95.03222307,K1
11,3.238095238,0.483501196,0.366320635,0.329688572,1.417252195,91.95498918,95.03222307,K1
12,9.732824427,0.027965602,0.270330665,0.689343195,1.321107883,84.10972307,93.17863613,K1
13,5.73012939,0.139055938,0.282087784,0.535966789,1.399155601,92.57231779,98.19926259,K1
14,5.73012939,0.139055938,0.282087784,0.535966789,1.399155601,92.57231779,98.19926259,K1
15,5.938697318,0.261604976,0.28257947,0.720577649,1.596017525,88.66723537,94.26537039,K1
16,9.732824427,0.027965602,0.270330665,0.689343195,1.321107883,84.10972307,93.17863613,K1
17,5.938697318,0.261604976,0.28257947,0.720577649,1.596017525,88.66723537,94.26537039,K1
18,9.28030303,0.279241391,0.317702617,0.102642384,1.39791121,84.64807872,93.30727675,K1
19,7.85440613,0.415753481,0.286932915,1.178632128,1.872632156,84.90450871,92.14169137,K1
20,7.85440613,0.415753481,0.286932915,1.178632128,1.872632156,84.90450871,92.14169137,K1
21,6.563706564,0.406473196,0.239500169,0.56173676,1.767597313,87.40102853,93.5407702,K1
22,7.82778865,0.042330916,0.2402799,0.807340463,1.347226215,83.91560154,91.04219191,K1
23,9.28030303,0.279241391,0.317702617,0.102642384,1.39791121,84.64807872,93.30727675,K1
24,6.563706564,0.406473196,0.239500169,0.56173676,1.767597313,87.40102853,93.5407702,K1
25,8.518518519,0.012778889,0.222191644,0.653243433,0.844426901,86.85355033,94.94112789,K2
26,3.969754253,0.382767277,0.402586645,0.394111136,1.112810971,89.89224727,93.60826536,K2
27,7.98816568,0.136238149,0.287317317,0.716083158,0.846203687,87.61122167,95.21734059,K2
28,12.79069767,0.139744102,0.210031188,1.022151779,1.434139347,81.26401395,93.182736,K2
29,6.403013183,0.440594683,0.473796048,0.540127494,1.291783245,87.63797496,93.63332938,K2
30,5.871212121,0.211921535,0.541328286,0.903782878,1.115276115,88.18198482,93.68226958,K2
31,4.664179104,0.175555058,0.418726907,0.530387416,1.478680501,89.29008667,93.65848621,K2
32,8.490566038,0.181190544,0.242135249,0.813574436,1.276764248,85.0347648,92.92458834,K2
33,8.745247148,0.202144489,0.311962013,0.481312821,1.227936813,84.41947906,92.50967913,K2
34,7.751937984,0.589051904,0.264515158,0.846448506,1.088602368,85.20049877,92.36020455,K2
35,11.3243762,0.529716666,0.275166075,0.797981617,1.322952041,84.53205584,95.32727509,K2
36,5.871212121,0.432821677,0.281073413,0.55782262,1.116281679,91.03837968,96.71682992,K2
37,7.384615385,0,0.285391355,0.553220164,0.781951566,87.68084752,94.67201144,K2
38,10.25145068,0.006394322,0.271985718,1.686311452,1.499641148,81.16753238,90.43882379,K2
39,5.871212121,0.432821677,0.281073413,0.55782262,1.116281679,91.03837968,96.71682992,K2
40,7.984790875,0.323445393,0.361451256,1.055437667,2.486669609,79.29942725,86.18078251,K2
41,7.007575758,0.516236702,0.349655648,0.668716428,1.241817857,86.59225361,93.11753546,K2
42,9.89,0.043810912,0.247472581,1.13387437,1.125605211,82.67545975,91.74948369,K2
43,5.675146771,0.364020174,0.51713948,0.451321728,1.838714235,85.76453258,90.92463931,K2
44,6.457242583,0.138172016,0.217295939,0.691001087,0.879850832,89.09103896,95.24098008,K2
45,4.6875,0.452311425,0.348490716,0.460007745,1.466394371,89.22265766,93.61065721,K2
46,4.6875,0.452311425,0.348490716,0.460007745,1.466394371,89.22265766,93.61065721,K2
47,3.409090909,0.237407328,0.298067763,0.467737106,1.879429291,91.75582513,94.99426602,K2
48,4.356060606,0.542842809,0.370811352,0.695271285,1.265614371,89.36994477,93.44025908,K2
49,4.356060606,0.542842809,0.370811352,0.695271285,1.265614371,89.36994477,93.44025908,K2
50,4.980842912,0.439901747,0.326728525,0.616116647,1.204652937,88.13049925,92.75024316,K2
51,6.066536204,0.354512136,0.173258647,0.376837558,1.883440165,91.35239425,97.25223638,K2
52,4.222648752,0.482097243,0.127465763,0.305917831,1.129469578,89.83357586,93.7941744,K3
53,11.71875,0.093942319,0.460970062,1.009524435,1.225391779,79.91006016,90.51759027,K3
54,11.71875,0.093942319,0.460970062,1.009524435,1.225391779,79.91006016,90.51759027,K3
55,4.222648752,0.482097243,0.127465763,0.305917831,1.129469578,89.83357586,93.7941744,K3
56,11.36738056,0.198741959,0.340358843,0.884932993,1.024720532,80.2014677,90.48752954,K3
57,11.17533719,0.25747847,0.504036455,0.769801131,0.934623978,83.22273996,93.69327992,K3
58,10.07751938,0.460202657,0.316573226,0.529129535,1.182548779,84.90439741,94.4195454,K3
59,9.904761905,0.628242777,0.315794628,0.920315772,1.269013953,83.22364656,92.37296923,K3
60,6.488549618,0.506468318,0.545476168,0.355745327,1.92818607,87.23405952,93.28703507,K3
61,3.238095238,0.483501196,0.366320635,0.329688572,1.417252195,91.95498918,95.03222307,K4
62,0.6479,1.259286917,0.601844391,0.160491838,1.722932812,89.68569993,90.2705629,K4
63,5.620155039,1.492820824,0.704948415,0.380672144,1.58260062,87.20645167,92.39944366,K4
64,5.447470817,0.728397725,0.408564893,0.374159428,1.361027818,90.29764311,95.49997646,K4
65,5.152671756,1.159684384,0.537416237,0.266371526,1.420652997,87.57948913,92.33732858,K4
66,2.793296089,0.03275349,0.341825471,0.177749245,1.422744297,90.19573263,92.78756403,K4
67,8.22147651,1.317175869,0.643124249,0.612076871,0.842364694,83.0341681,90.47232941,K4
68,9.433962264,0.26326723,0.381691708,0.889117156,1.274038952,84.94523579,93.79369785,K1
69,9.433962264,0.26326723,0.381691708,0.889117156,1.274038952,84.94523579,93.79369785,K1
70,10.11450382,0.319112563,0.249093192,0.475541549,1.121532199,84.03364918,93.48966491,K1
71,8.31758034,0.563296946,0.386407531,0.637572427,1.275815403,86.38260423,94.21937657,K1
72,11.24031008,0.524117386,0.503795102,1.167888647,1.018891155,79.76618467,89.86757924,K1
73,10.24667932,0.297560761,0.226661739,0.897580485,1.288915472,85.23338424,94.96404544,K1
74,8.143939394,0.40553397,0.310108157,0.61135608,1.161533165,87.49260722,95.24968373,K1
75,8.143939394,0.40553397,0.310108157,0.61135608,1.161533165,87.49260722,95.24968373,K1
76,8.571428571,0.285410487,0.356063574,0.974724033,1.438674389,85.87769512,93.92872903,K1
77,9.356725146,0.256093977,0.224523821,0.781342898,1.250433262,86.29736366,95.20547862,K1
78,11.24031008,0.524117386,0.503795102,1.167888647,1.018891155,79.76618467,89.86757924,K1
79,4.247104247,0.54548032,0.254727304,0.101890922,1.484727802,93.34642027,97.48678568,K1
80,9.108527132,0.466147348,0.268658481,0.362688949,1.669569311,86.48540211,95.15238271,K1
81,6.557377049,0.233906214,0.217614396,0.731184369,0.973081539,86.97398564,93.07742323,K1
82,7.34375,0.082161548,0.241597556,0.71161462,0.802739747,87.99016382,94.96408911,K1
83,10.24667932,0.297560761,0.226661739,0.897580485,1.288915472,85.23338424,94.96404544,K1
84,6.285714286,0.338801676,0.13012386,0.481458281,1.188095817,91.46117979,97.59577112,K1
85,10.11450382,0.319112563,0.249093192,0.475541549,1.121532199,84.03364918,93.48966491,K1
86,7.858546169,0.311640367,0.336664813,0.706996108,1.883720849,86.00382335,93.33890423,K1
87,8.31758034,0.563296946,0.386407531,0.637572427,1.275815403,86.38260423,94.21937657,K1
88,10.24667932,0.297560761,0.226661739,0.897580485,1.288915472,85.23338424,94.96404544,K1
