created_at,id_str,full_text,lang,username
Tue Dec 05 07:14:06 +0000 2023,1.73193E+18,@KompasTV Menurut saya ini hal yang tepat  yang harus di prioritaskan adalah kestabilan di masyarakat terlebih dulu  jangan membuat kebijakan untuk pembangunan jika masyarakat saja susah membeli sembako,in,wandanurhadi
Tue Dec 05 07:15:02 +0000 2023,1.73194E+18,@KompasTV keren banget cara Pak Anies kebijakan nya selalu pro rakyat. Cerdas  visioner  dan perhatian sama kebutuhan rakyat!,in,wandanurhadi
Tue Dec 05 07:15:19 +0000 2023,1.73194E+18,@KompasTV Jadi  gak heran deh kalo Pak Anies bisa bawa perubahan positif buat Indonesia nantinya  Kepemimpinan yang cerdas banget!,in,wandanurhadi
Tue Dec 05 07:53:03 +0000 2023,1.73194E+18,@KompasTV Saya Sangat appreciate sama Pak Anies yang selalu peduli sama keadilan dan kesejahteraan masyarakat.,in,HasanRowi
Tue Dec 05 10:35:02 +0000 2023,1.73199E+18,@KompasTV Menurut saya ini hal yang tepat  yang harus di prioritaskan adalah kestabilan di masyarakat terlebih dulu  jangan membuat kebijakan untuk pembangunan jika masyarakat saja susah membeli sembako,in,dayatrajajap
Tue Dec 05 07:15:08 +0000 2023,1.73194E+18,@KompasTV Anies emang bener-bener pinter banget ya! Selain jagoan di bidang pendidikan  dia juga peka banget sama rakyatnya.,in,wandanurhadi
Tue Dec 05 07:19:45 +0000 2023,1.73194E+18,@KompasTV Saya Yakin bahwa Pak Anies sudah mempunyai strategi yang baik dalam Menstabilkan Harga Sembako Untuk Kebutuhan Masyarakat.,in,muridunsamiun
Tue Dec 05 09:35:56 +0000 2023,1.73197E+18,@KompasTV Menurut Mantan Gubernur DKI Jakarta ini  stabilisasi harga sembako jadi salah satu prioritas dalam 100 hari pertama kerjanya. yuk kita pilih pak anies,in,husadahuda
Tue Dec 05 07:11:53 +0000 2023,1.73193E+18,@KompasTV Masa depan bangsa ada di tangan setiap masyarakatnya,in,wandanurhadi
Tue Dec 05 07:32:54 +0000 2023,1.73194E+18,@KompasTV Program 100 hari Pak Anies merupakan hal yg tepat  Bahwa Masyarakat adalah prioritas Utama Beliau.,in,aditya_bayoe31
Tue Dec 05 07:52:47 +0000 2023,1.73194E+18,@KompasTV Pak Anies Pemimpin yg mengerti keinginan Masyarakat  mari kita dukung bersama sama.,in,HasanRowi
Tue Dec 05 07:53:04 +0000 2023,1.73194E+18,@KompasTV Ini Baru pemimpin yg mengerti keinginan rakyat  dan Mau Mendengar aspirasi masyarakat  keren!,in,HasanRowi
Tue Dec 05 08:32:21 +0000 2023,1.73195E+18,@KompasTV Masa depan bangsa ada di tangan setiap masyarakatnya.,in,Nila_Karimah
Tue Dec 05 07:52:56 +0000 2023,1.73194E+18,@KompasTV Kebijakan yang manusiawi  tidak mementingkan kepentingan orang2 kelas atas tapi keadilan bagi seluruh masyarakat,in,HasanRowi
Tue Dec 05 10:35:14 +0000 2023,1.73199E+18,@KompasTV Kebijakan yang manusiawi  tidak mementingkan kepentingan orang2 kelas atas tapi keadilan bagi seluruh masyarakat,in,dayatrajajap
Tue Dec 05 07:52:43 +0000 2023,1.73194E+18,@KompasTV Harga Bahan Poko menjadi prioritas untama Pak Anies dalam 100 hari kerja  ini merupakan Hal yg Baik menurut saya.,in,HasanRowi
Tue Dec 05 07:15:25 +0000 2023,1.73194E+18,@KompasTV Semoga harga akan stabil  terutama harga di pedagang konvensional  semoga bisa bersaing dengan market online,in,wandanurhadi
Tue Dec 05 07:19:42 +0000 2023,1.73194E+18,@KompasTV Kita perlu Langkah-langkah konsisten untuk melakukan cek di lapangan dan mencari solusinya Bersama.,in,muridunsamiun
Tue Dec 05 07:32:56 +0000 2023,1.73194E+18,@KompasTV Kita Harus memilih yang terbaik untuk masa depan negara tercinta  Pak Anies Dalah pilhan Terbaik Menurut saya.,in,aditya_bayoe31
Tue Dec 05 07:53:00 +0000 2023,1.73194E+18,@KompasTV Mari Berkontribusi dan Kita dukung bersama  Semoga akan terealisasi dengan efektif dan efisien dlam 100 hari pertama nya nanti.,in,HasanRowi
Tue Dec 05 10:36:46 +0000 2023,1.73199E+18,@KompasTV Jangan biarkan suaramu berada di tangan yang salah. Ayo  memilih yang terbaik untuk masa depan negara tercinta!,in,dayatrajajap
Tue Dec 05 07:17:08 +0000 2023,1.73194E+18,@KompasTV Rakyat sejahtera  pembangunan pun akan berjalan lancar.,in,MutiaNani55
Tue Dec 05 08:33:20 +0000 2023,1.73195E+18,@KompasTV Ini adalah waktunya untuk perubahan!,in,Nila_Karimah
Tue Dec 05 10:54:31 +0000 2023,1.73199E+18,@KompasTV Ini adalah waktunya untuk perubahan!,in,Marimarnini
Tue Dec 05 07:22:02 +0000 2023,1.73194E+18,@KompasTV Kita ingin kebutuhan pokok terjangkau itu adalah prioritas utama,in,MutiaNani55
Tue Dec 05 08:25:42 +0000 2023,1.73195E+18,@KompasTV Kita ingin kebutuhan pokok terjangkau itu adalah prioritas utama,in,Nila_Karimah
Tue Dec 05 07:21:50 +0000 2023,1.73194E+18,@KompasTV saya yakin pak anies tidak akan ingkar janji,in,MutiaNani55
Tue Dec 05 07:32:54 +0000 2023,1.73194E+18,@KompasTV Masa depan bangsa ada di tangan setiap masyarakatnya.,in,subarna_yana
Tue Dec 05 07:57:58 +0000 2023,1.73195E+18,@KompasTV Masa depan bangsa ada di tangan setiap masyarakatnya.,in,bagja_wjy
Tue Dec 05 07:11:05 +0000 2023,1.73193E+18,@KompasTV Berikan suara untuk pemimpin masa depan yang gemilang!,in,dini_dapur
Tue Dec 05 07:12:56 +0000 2023,1.73193E+18,@KompasTV Berikan suara untuk pemimpin masa depan yang gemilang!,in,wandanurhadi
Tue Dec 05 07:59:03 +0000 2023,1.73195E+18,@KompasTV Berikan suara untuk pemimpin masa depan yang gemilang!,in,bagja_wjy
Tue Dec 05 08:31:04 +0000 2023,1.73195E+18,@KompasTV Mari membangun masa depan negara yang cerah bersama-sama!,in,Nila_Karimah
Tue Dec 05 08:25:47 +0000 2023,1.73195E+18,@KompasTV kita siap mendukung pak anies dengan programnya,in,Nila_Karimah
Tue Dec 05 07:10:12 +0000 2023,1.73193E+18,@KompasTV Ini adalah waktunya untuk perubahan!,in,dini_dapur
Tue Dec 05 07:33:04 +0000 2023,1.73194E+18,@KompasTV Ini adalah waktunya untuk perubahan!,in,subarna_yana
Tue Dec 05 08:10:34 +0000 2023,1.73195E+18,@KompasTV Ini adalah waktunya untuk perubahan!,in,wijiasWanto
Tue Dec 05 08:32:05 +0000 2023,1.73195E+18,@KompasTV Suara baru untuk kemajuan negaramu.,in,Nila_Karimah
Tue Dec 05 09:45:39 +0000 2023,1.73197E+18,@KompasTV Ini adalah waktunya untuk perubahan!,in,Billy_pemuja
Tue Dec 05 07:11:59 +0000 2023,1.73193E+18,@KompasTV Satu bangsa. Satu tujuan.,in,wandanurhadi
Tue Dec 05 08:32:26 +0000 2023,1.73195E+18,@KompasTV Satu bangsa. Satu tujuan.,in,Nila_Karimah
Tue Dec 05 07:09:56 +0000 2023,1.73193E+18,@KompasTV Mari membangun masa depan negara yang cerah bersama-sama!,in,dini_dapur
Tue Dec 05 07:14:17 +0000 2023,1.73194E+18,@KompasTV Bekerja bersama  untuk perubahan ke arah yang lebih baik.,in,wandanurhadi
Tue Dec 05 07:32:33 +0000 2023,1.73194E+18,@KompasTV Rakyat sejahtera  pembangunan pun akan berjalan lancar.,in,subarna_yana
Tue Dec 05 07:32:49 +0000 2023,1.73194E+18,@KompasTV Mari membangun masa depan negara yang cerah bersama-sama!,in,subarna_yana
Tue Dec 05 07:33:56 +0000 2023,1.73194E+18,@KompasTV Berikan suara untuk pemimpin masa depan yang gemilang!,in,subarna_yana
Tue Dec 05 07:57:40 +0000 2023,1.73195E+18,@KompasTV Rakyat sejahtera  pembangunan pun akan berjalan lancar.,in,bagja_wjy
Tue Dec 05 07:57:54 +0000 2023,1.73195E+18,@KompasTV Mari membangun masa depan negara yang cerah bersama-sama!,in,bagja_wjy
Tue Dec 05 08:02:57 +0000 2023,1.73195E+18,@KompasTV Mari membangun masa depan negara yang cerah bersama-sama!,in,asrowiwahib
Tue Dec 05 09:45:25 +0000 2023,1.73197E+18,@KompasTV Mari membangun masa depan negara yang cerah bersama-sama!,in,Billy_pemuja
Tue Dec 05 07:57:16 +0000 2023,1.73195E+18,@KompasTV Ini sangat mantap sekali Anies Baswedan mengabdikan karirnya untuk menjamin kesetaraan sosial bagi warganya,in,MenurAgustin
Tue Dec 05 10:36:20 +0000 2023,1.73199E+18,@KompasTV Kepemimpinan dan pengalaman adalah nilai-nilai berarti yang penting.,in,dayatrajajap
Tue Dec 05 02:44:51 +0000 2023,1.73187E+18,@KompasTV Ini baru presiden janji selalu ditepati  prioritas kan nasib rakyatnya #AMINAjaDulu,in,Ifundvm04
Tue Dec 05 10:57:42 +0000 2023,1.73199E+18,@tempodotco kepada yang Baper...   Hellaw~~ banguun  matahari sudah tinggi.. pertandingan (masa kampanye) sudah dimulai.. 😂,in,Rozzty5
Tue Dec 05 11:54:03 +0000 2023,1.73201E+18,@tempodotco Pak udah pak🤣🤣🙏🏻 ngakak bgt,in,stayynin
Tue Dec 05 13:18:00 +0000 2023,1.73203E+18,@tempodotco Ya biar dari tanemam kalau cuman ditanem digagasan ya sama aja ngibul.,in,noer_arians
Tue Dec 05 11:26:32 +0000 2023,1.732E+18,@tempodotco Katanya perubahan  kok belum keluar @NasDem @cakimiNOW @aniesbaswedan,in,anoss_king
Tue Dec 05 11:18:56 +0000 2023,1.732E+18,@tempodotco Wkwkwkwkwkw.... Dimakan juga issue itu....kasihan,in,Eko_setia_1
Tue Dec 05 14:43:07 +0000 2023,1.73205E+18,@tempodotco https://t.co/0dYufnpt6X,qme,KarenaBenar
Tue Dec 05 15:13:56 +0000 2023,1.73206E+18,@tempodotco https://t.co/u1upgA6iUt,qme,Kilasan_Senja
Tue Dec 05 08:36:42 +0000 2023,1.73196E+18,@tempodotco Wkwkwkwk nyindir cawapres Nmr 2 yg punya semua institusi,in,jamalkobain666_
