,tanggal,tweet,username,tweet_url
0,Tue Dec 05 07:05:14 +0000 2023,Gibran tampak salting dan tersenyum mendengar ucapan tersebut. Para santri dan guru Ponpes Asshiddiqiyah juga tertawa mendengar ucapan tersebut.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran,LubisDarlina,https://twitter.com/LubisDarlina/status/1731932727518036366
1,Tue Dec 05 07:05:14 +0000 2023,Calon presiden nomor urut 2 Prabowo Subianto menyampaikan harapannya agar Indonesia bisa menjadi negara produsen mobil dan kapal yang handal. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,maleyintani,https://twitter.com/maleyintani/status/1731932727446815063
2,Tue Dec 05 07:05:14 +0000 2023,"Menurut Prabowo, masih ada persoalan sama yang dialami bangsa Indonesia sejak dulu,  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",harrispradana_,https://twitter.com/harrispradana_/status/1731932726872113246
3,Tue Dec 05 07:05:14 +0000 2023,"Dan walbikhusus Mas Gibran yang kiyowo,"" kata Minorotul di Ponpes AsShiddiqiyah, Tangerang, Banten, Senin (4/12/2023).   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran""",LubisDarlina,https://twitter.com/LubisDarlina/status/1731932725387673906
4,Tue Dec 05 07:05:13 +0000 2023,Prabowo Subianto ingin Indonesia produksi mobil dan kapal #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto https://t.co/xoTKKI1rav,maleyintani,https://twitter.com/maleyintani/status/1731932724305223919
5,Tue Dec 05 07:05:13 +0000 2023,"Mulanya, Minorotul mengawali pertanyaannya dengan menyapa pimpinan ponpes. Kemudian, dia menyapa Gibran dengan sebutan 'kiyowo'.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran",LubisDarlina,https://twitter.com/LubisDarlina/status/1731932723252781516
6,Tue Dec 05 07:05:13 +0000 2023,Prabowo pun menjelaskan alasannya kembali maju dalam kontestasi Pemilihan Umum (Pemilu) 2024. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,harrispradana_,https://twitter.com/harrispradana_/status/1731932722442997914
7,Tue Dec 05 07:05:13 +0000 2023,"(Korsel) yang artinya lucu, imut, manis yang biasanya ditujukan ke orang sekitar.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran",LubisDarlina,https://twitter.com/LubisDarlina/status/1731932721214062949
8,Tue Dec 05 07:05:13 +0000 2023,"@Dennysiregar7 @prabowo @gibran_tweet Pancasila Sila ke 1 aja keTuhanan yang Maha Esa, masa iya mau ngasih hak ke orang yang ngelanggar kodrat dari Tuhan 😂",rov_aL,https://twitter.com/rov_aL/status/1731932720618442765
9,Tue Dec 05 07:05:12 +0000 2023,"Sebagai informasi, kiyowo atau gwieyowo merupakan kata yang berasal dari Korea Selatan   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran",LubisDarlina,https://twitter.com/LubisDarlina/status/1731932719159148741
10,Tue Dec 05 07:05:12 +0000 2023,"Alasan kembali maju pilpres Dalam kesempatan tersebut,  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",harrispradana_,https://twitter.com/harrispradana_/status/1731932718156664929
11,Tue Dec 05 07:05:12 +0000 2023,"Ada momen menarik saat tanya jawab tersebut. Salah satu santri perempuan kelas XI, Minorotul Iktiah, menyebut Gibran 'kiyowo'.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran",LubisDarlina,https://twitter.com/LubisDarlina/status/1731932717091115208
12,Tue Dec 05 07:05:11 +0000 2023,"Acara di Ponpes Asshiddiqiyah 2 Tangerang, Banten itu bertajuk 'Gibran Mendengar, Santri Bicara'. Para santri dipersilahkan bertanya langsung ke Gibran.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran",LubisDarlina,https://twitter.com/LubisDarlina/status/1731932714973229432
13,Tue Dec 05 07:05:11 +0000 2023,"Tapi kita harus kuat, itu perjuangan yang harus kita lakukan, tutur dia. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",harrispradana_,https://twitter.com/harrispradana_/status/1731932713412673943
14,Tue Dec 05 07:05:11 +0000 2023,Gibran sempat salah tingkah (salting) tersenyum saat dipanggil 'kiyowo' oleh salah satu santri ponpes tersebut.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran,LubisDarlina,https://twitter.com/LubisDarlina/status/1731932712955748501
15,Tue Dec 05 07:05:10 +0000 2023,"Cawapres nomor urut 2, Gibran Rakabuming Raka, mengunjungi Pondok Pesantren (Ponpes) Asshiddiqiyah 2 di Tangerang, Banten.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran",LubisDarlina,https://twitter.com/LubisDarlina/status/1731932710849933562
16,Tue Dec 05 07:05:10 +0000 2023,"Kita hormat sama Anda, hormat sama Amerika, hormat sama China, hormat sama semua.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",harrispradana_,https://twitter.com/harrispradana_/status/1731932709247918460
17,Tue Dec 05 07:05:10 +0000 2023,Momen Gibran Salting Dipanggil 'Kiyowo' di Ponpes Asshiddiqiyah 2 Tangerang   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran https://t.co/h7CnP4DjIn,LubisDarlina,https://twitter.com/LubisDarlina/status/1731932708375597458
18,Tue Dec 05 07:05:09 +0000 2023,"Selain itu, Prabowo menuturkan, Indonesia harus menjadi bangsa kuat yang tetap menghormati negara-negara lain. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",harrispradana_,https://twitter.com/harrispradana_/status/1731932704902455394
19,Tue Dec 05 07:05:08 +0000 2023,Salah satunya dengan menghilangkan kemiskinan di Indonesia.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,harrispradana_,https://twitter.com/harrispradana_/status/1731932700682945010
20,Tue Dec 05 07:05:07 +0000 2023,"Karena itu, dia dan calon wakil presiden (cawapres) Gibran Rakabuming Raka akan membuat terobosan. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",harrispradana_,https://twitter.com/harrispradana_/status/1731932696757059825
21,Tue Dec 05 07:05:06 +0000 2023,"Prabowo menegaskan, dia hanya ingin melihat bangsa Indonesia terhormat.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",harrispradana_,https://twitter.com/harrispradana_/status/1731932692579516685
22,Tue Dec 05 07:05:05 +0000 2023,"Saya akan naik gunung, pensiun, lanjut dia. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",harrispradana_,https://twitter.com/harrispradana_/status/1731932688636862676
23,Tue Dec 05 07:05:04 +0000 2023,"Tapi, kalau saudara tidak memberi mandat kepada saya, saya tidak apa-apa. Saya seorang patriot.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",harrispradana_,https://twitter.com/harrispradana_/status/1731932684434502032
